show_id,title,type,release_year,rating,date_added,year_added,duration_minutes,duration_seasons,genre
247747,Amar Akbar Anthony,Movie,1977,TV-14,12/31/2019,2019,172,,Action/Adventure
247747,Amar Akbar Anthony,Movie,1977,TV-14,12/31/2019,2019,172,,Cult/Classic
247747,Amar Akbar Anthony,Movie,1977,TV-14,12/31/2019,2019,172,,Comedy
269880,Bad Boys,Movie,1995,R,10/1/2019,2019,119,,Action/Adventure
269880,Bad Boys,Movie,1995,R,10/1/2019,2019,119,,Comedy
281550,La Bamba,Movie,1987,PG-13,1/1/2020,2020,109,,Cult/Classic
281550,La Bamba,Movie,1987,PG-13,1/1/2020,2020,109,,Drama
281550,La Bamba,Movie,1987,PG-13,1/1/2020,2020,109,,Music & Musicals
284890,Barsaat,Movie,1995,TV-PG,4/1/2018,2018,166,,Action/Adventure
284890,Barsaat,Movie,1995,TV-PG,4/1/2018,2018,166,,International
284890,Barsaat,Movie,1995,TV-PG,4/1/2018,2018,166,,Music & Musicals
292118,Beavis and Butt-head Do America,Movie,1996,PG-13,11/20/2019,2019,81,,Comedy
292118,Beavis and Butt-head Do America,Movie,1996,PG-13,11/20/2019,2019,81,,Cult/Classic
296682,Benji,Movie,1974,G,3/6/2018,2018,86,,Kids/Family
296682,Benji,Movie,1974,G,3/6/2018,2018,86,,Cult/Classic
347365,Candyman,Movie,1992,R,10/1/2019,2019,99,,Cult/Classic
347365,Candyman,Movie,1992,R,10/1/2019,2019,99,,Horror
352989,Carrie,Movie,1976,R,6/1/2019,2019,98,,Cult/Classic
352989,Carrie,Movie,1976,R,6/1/2019,2019,98,,Cult/Classic
352989,Carrie,Movie,1976,R,6/1/2019,2019,98,,Horror
372195,Child's Play,Movie,1988,R,12/31/2019,2019,87,,Cult/Classic
372195,Child's Play,Movie,1988,R,12/31/2019,2019,87,,Horror
374651,Chitty Chitty Bang Bang,Movie,1968,G,1/1/2020,2020,146,,Kids/Family
374651,Chitty Chitty Bang Bang,Movie,1968,G,1/1/2020,2020,146,,Cult/Classic
374651,Chitty Chitty Bang Bang,Movie,1968,G,1/1/2020,2020,146,,Comedy
382650,Cleopatra Jones,Movie,1973,PG,11/1/2019,2019,89,,Action/Adventure
382650,Cleopatra Jones,Movie,1973,PG,11/1/2019,2019,89,,Cult/Classic
404067,The Craft,Movie,1996,R,1/1/2020,2020,101,,Horror
404067,The Craft,Movie,1996,R,1/1/2020,2020,101,,Thrillers
408911,The Crow,Movie,1994,R,1/1/2019,2019,102,,Action/Adventure
408911,The Crow,Movie,1994,R,1/1/2019,2019,102,,Cult/Classic
408911,The Crow,Movie,1994,R,1/1/2019,2019,102,,Sci-Fi & Fantasy
449931,Doctor Zhivago,Movie,1965,PG-13,11/1/2019,2019,200,,Cult/Classic
449931,Doctor Zhivago,Movie,1965,PG-13,11/1/2019,2019,200,,Drama
449931,Doctor Zhivago,Movie,1965,PG-13,11/1/2019,2019,200,,Romance
484369,The Evil Dead,Movie,1981,TV-MA,1/10/2020,2020,85,,Cult/Classic
484369,The Evil Dead,Movie,1981,TV-MA,1/10/2020,2020,85,,Cult/Classic
484369,The Evil Dead,Movie,1981,TV-MA,1/10/2020,2020,85,,Horror
498716,Ferris Bueller's Day Off,Movie,1986,PG-13,1/3/2020,2020,103,,Cult/Classic
498716,Ferris Bueller's Day Off,Movie,1986,PG-13,1/3/2020,2020,103,,Comedy
498716,Ferris Bueller's Day Off,Movie,1986,PG-13,1/3/2020,2020,103,,Cult/Classic
510854,The Flintstones,Movie,1994,PG,10/1/2019,2019,91,,Kids/Family
510854,The Flintstones,Movie,1994,PG,10/1/2019,2019,91,,Comedy
516788,Forbidden Planet,Movie,1956,G,11/1/2019,2019,98,,Action/Adventure
516788,Forbidden Planet,Movie,1956,G,11/1/2019,2019,98,,Cult/Classic
516788,Forbidden Planet,Movie,1956,G,11/1/2019,2019,98,,Sci-Fi & Fantasy
520489,Four Weddings and a Funeral,Movie,1994,R,8/1/2019,2019,118,,Cult/Classic
520489,Four Weddings and a Funeral,Movie,1994,R,8/1/2019,2019,118,,Comedy
520489,Four Weddings and a Funeral,Movie,1994,R,8/1/2019,2019,118,,International
523650,Free Willy,Movie,1993,PG,1/1/2020,2020,112,,Kids/Family
523650,Free Willy,Movie,1993,PG,1/1/2020,2020,112,,Drama
542137,Gigi,Movie,1958,G,11/1/2019,2019,115,,Cult/Classic
542137,Gigi,Movie,1958,G,11/1/2019,2019,115,,Comedy
542137,Gigi,Movie,1958,G,11/1/2019,2019,115,,Music & Musicals
569355,Hamburger Hill,Movie,1987,R,11/23/2019,2019,110,,Action/Adventure
569355,Hamburger Hill,Movie,1987,R,11/23/2019,2019,110,,Drama
607931,How to Make an American Quilt,Movie,1995,PG-13,4/1/2018,2018,116,,Drama
607931,How to Make an American Quilt,Movie,1995,PG-13,4/1/2018,2018,116,,Romance
653673,Jimi Hendrix,Movie,1973,R,11/1/2019,2019,102,,Documentary
653673,Jimi Hendrix,Movie,1973,R,11/1/2019,2019,102,,Music & Musicals
673843,Kingpin,Movie,1996,PG-13,1/1/2020,2020,114,,Comedy
673843,Kingpin,Movie,1996,PG-13,1/1/2020,2020,114,,Cult/Classic
673843,Kingpin,Movie,1996,PG-13,1/1/2020,2020,114,,Sports
684847,The Last Boy Scout,Movie,1991,R,11/1/2019,2019,105,,Action/Adventure
684847,The Last Boy Scout,Movie,1991,R,11/1/2019,2019,105,,Comedy
699257,Monty Python's Life of Brian,Movie,1979,R,10/2/2018,2018,94,,Cult/Classic
699257,Monty Python's Life of Brian,Movie,1979,R,10/2/2018,2018,94,,Comedy
699257,Monty Python's Life of Brian,Movie,1979,R,10/2/2018,2018,94,,Cult/Classic
701346,Like Water for Chocolate,Movie,1992,R,11/1/2019,2019,105,,Cult/Classic
701346,Like Water for Chocolate,Movie,1992,R,11/1/2019,2019,105,,Drama
701346,Like Water for Chocolate,Movie,1992,R,11/1/2019,2019,105,,International
709163,Logan's Run,Movie,1976,PG,11/1/2019,2019,118,,Action/Adventure
709163,Logan's Run,Movie,1976,PG,11/1/2019,2019,118,,Cult/Classic
709163,Logan's Run,Movie,1976,PG,11/1/2019,2019,118,,Cult/Classic
709380,Lolita,Movie,1962,R,11/1/2019,2019,153,,Cult/Classic
709380,Lolita,Movie,1962,R,11/1/2019,2019,153,,Drama
709380,Lolita,Movie,1962,R,11/1/2019,2019,153,,Romance
771476,Monty Python and the Holy Grail,Movie,1975,PG,1/2/2019,2019,92,,Action/Adventure
771476,Monty Python and the Holy Grail,Movie,1975,PG,1/2/2019,2019,92,,Cult/Classic
771476,Monty Python and the Holy Grail,Movie,1975,PG,1/2/2019,2019,92,,Comedy
793907,The Natural,Movie,1984,PG,1/1/2020,2020,138,,Cult/Classic
793907,The Natural,Movie,1984,PG,1/1/2020,2020,138,,Drama
793907,The Natural,Movie,1984,PG,1/1/2020,2020,138,,Sports
848915,The Pelican Brief,Movie,1993,PG-13,11/1/2019,2019,141,,Drama
848915,The Pelican Brief,Movie,1993,PG-13,11/1/2019,2019,141,,Thrillers
855084,Philadelphia,Movie,1993,PG-13,7/1/2019,2019,126,,Cult/Classic
855084,Philadelphia,Movie,1993,PG-13,7/1/2019,2019,126,,Drama
855084,Philadelphia,Movie,1993,PG-13,7/1/2019,2019,126,,LGBTQ+
873159,Primal Fear,Movie,1996,R,12/1/2019,2019,131,,Drama
873159,Primal Fear,Movie,1996,R,12/1/2019,2019,131,,Thrillers
880640,Pulp Fiction,Movie,1994,R,1/1/2019,2019,154,,Cult/Classic
880640,Pulp Fiction,Movie,1994,R,1/1/2019,2019,154,,Cult/Classic
880640,Pulp Fiction,Movie,1994,R,1/1/2019,2019,154,,Drama
896678,Red Dawn,Movie,1984,PG-13,12/31/2019,2019,114,,Action/Adventure
896678,Red Dawn,Movie,1984,PG-13,12/31/2019,2019,114,,Cult/Classic
915927,Rocky,Movie,1976,PG,8/1/2019,2019,120,,Action/Adventure
915927,Rocky,Movie,1976,PG,8/1/2019,2019,120,,Cult/Classic
915927,Rocky,Movie,1976,PG,8/1/2019,2019,120,,Drama
916043,Rocky II,Movie,1979,PG,8/1/2019,2019,119,,Drama
916043,Rocky II,Movie,1979,PG,8/1/2019,2019,119,,Sports
916061,Rocky IV,Movie,1985,PG,8/1/2019,2019,92,,Drama
916061,Rocky IV,Movie,1985,PG,8/1/2019,2019,92,,Sports
923574,Rumble in the Bronx,Movie,1995,R,11/1/2019,2019,89,,Action/Adventure
923574,Rumble in the Bronx,Movie,1995,R,11/1/2019,2019,89,,Comedy
923574,Rumble in the Bronx,Movie,1995,R,11/1/2019,2019,89,,International
973861,Sling Blade,Movie,1996,R,11/1/2019,2019,135,,Drama
973861,Sling Blade,Movie,1996,R,11/1/2019,2019,135,,Independent Movies
1005494,The Stranger,Movie,1946,TV-PG,7/19/2018,2018,94,,Cult/Classic
1005494,The Stranger,Movie,1946,TV-PG,7/19/2018,2018,94,,Drama
1005494,The Stranger,Movie,1946,TV-PG,7/19/2018,2018,94,,Thrillers
1008581,Stripes,Movie,1981,R,9/1/2019,2019,106,,Cult/Classic
